Strategy,Screens,D,E,GE,M,S,W,Median
B50-74,11208.0,29.4,25.3,18.8,26.1,25.5,20.3,25.4
B45-74,13299.0,31.2,27.5,23.2,28.7,27.4,21.7,27.5
"A45-49, B50-74",16053.0,32.5,30.1,25.8,30.3,28.8,23.9,29.5
B40-74,16116.0,33.7,29.6,27.5,32.6,30.4,24.0,30.0
"A45-54, B55-74",18072.0,32.1,30.8,24.7,30.1,29.6,24.4,29.9
"A40-49, B50-74",20979.0,34.4,32.5,29.4,33.8,31.9,26.1,32.2
A50-74,21500.0,32.1,32.8,24.7,29.8,31.4,27.9,30.6
A45-74,26349.0,35.3,36.5,31.6,34.0,34.3,31.4,34.1
A40-74,31273.0,37.2,38.9,35.0,37.6,36.8,33.6,37.0
B50-79,12488.0,32.2,27.9,24.9,29.1,28.1,23.6,28.0
B45-79,15218.0,35.5,31.3,32.3,33.5,31.8,26.5,32.1
"A45-49, B50-79",17325.0,35.3,32.7,31.8,33.4,32.3,27.2,32.5
B40-79,17397.0,36.5,32.2,33.5,35.9,33.1,27.2,33.3
"A45-54, B55-79",19980.0,36.4,34.7,33.7,34.5,32.9,29.2,34.1
"A40-49, B50-79",22255.0,37.2,35.1,35.4,36.7,34.1,29.4,35.3
A50-79,24687.0,36.2,36.9,32.6,34.1,35.0,33.6,34.5
A45-79,29517.0,39.4,40.8,39.5,38.4,38.7,37.1,39.1
A40-79,34441.0,41.3,43.0,42.9,42.2,40.9,39.2,41.7
